Day,Season,Month,Holiday,Week Day,Working Day
2011-01-01,Winter,1,No,6,No
2011-01-02,Winter,1,No,0,No
2011-01-03,Winter,1,No,1,Yes
2011-01-04,Winter,1,No,2,Yes
2011-01-05,Winter,1,No,3,Yes
2011-01-06,Winter,1,No,4,Yes
2011-01-07,Winter,1,No,5,Yes
2011-01-08,Winter,1,No,6,No
2011-01-09,Winter,1,No,0,No
2011-01-10,Winter,1,No,1,Yes
2011-01-11,Winter,1,No,2,Yes
2011-01-12,Winter,1,No,3,Yes
2011-01-13,Winter,1,No,4,Yes
2011-01-14,Winter,1,No,5,Yes
2011-01-15,Winter,1,No,6,No
2011-01-16,Winter,1,No,0,No
2011-01-17,Winter,1,Yes,1,No
2011-01-18,Winter,1,No,2,Yes
2011-01-19,Winter,1,No,3,Yes
2011-01-20,Winter,1,No,4,Yes
2011-01-21,Winter,1,No,5,Yes
2011-01-22,Winter,1,No,6,No
2011-01-23,Winter,1,No,0,No
2011-01-24,Winter,1,No,1,Yes
2011-01-25,Winter,1,No,2,Yes
2011-01-26,Winter,1,No,3,Yes
2011-01-27,Winter,1,No,4,Yes
2011-01-28,Winter,1,No,5,Yes
2011-01-29,Winter,1,No,6,No
2011-01-30,Winter,1,No,0,No
2011-01-31,Winter,1,No,1,Yes
2011-02-01,Winter,2,No,2,Yes
2011-02-02,Winter,2,No,3,Yes
2011-02-03,Winter,2,No,4,Yes
2011-02-04,Winter,2,No,5,Yes
2011-02-05,Winter,2,No,6,No
2011-02-06,Winter,2,No,0,No
2011-02-07,Winter,2,No,1,Yes
2011-02-08,Winter,2,No,2,Yes
2011-02-09,Winter,2,No,3,Yes
2011-02-10,Winter,2,No,4,Yes
2011-02-11,Winter,2,No,5,Yes
2011-02-12,Winter,2,No,6,No
2011-02-13,Winter,2,No,0,No
2011-02-14,Winter,2,No,1,Yes
2011-02-15,Winter,2,No,2,Yes
2011-02-16,Winter,2,No,3,Yes
2011-02-17,Winter,2,No,4,Yes
2011-02-18,Winter,2,No,5,Yes
2011-02-19,Winter,2,No,6,No
2011-02-20,Winter,2,No,0,No
2011-02-21,Winter,2,Yes,1,No
2011-02-22,Winter,2,No,2,Yes
2011-02-23,Winter,2,No,3,Yes
2011-02-24,Winter,2,No,4,Yes
2011-02-25,Winter,2,No,5,Yes
2011-02-26,Winter,2,No,6,No
2011-02-27,Winter,2,No,0,No
2011-02-28,Winter,2,No,1,Yes
2011-03-01,Winter,3,No,2,Yes
2011-03-02,Winter,3,No,3,Yes
2011-03-03,Winter,3,No,4,Yes
2011-03-04,Winter,3,No,5,Yes
2011-03-05,Winter,3,No,6,No
2011-03-06,Winter,3,No,0,No
2011-03-07,Winter,3,No,1,Yes
2011-03-08,Winter,3,No,2,Yes
2011-03-09,Winter,3,No,3,Yes
2011-03-10,Winter,3,No,4,Yes
2011-03-11,Winter,3,No,5,Yes
2011-03-12,Winter,3,No,6,No
2011-03-13,Winter,3,No,0,No
2011-03-14,Winter,3,No,1,Yes
2011-03-15,Winter,3,No,2,Yes
2011-03-16,Winter,3,No,3,Yes
2011-03-17,Winter,3,No,4,Yes
2011-03-18,Winter,3,No,5,Yes
2011-03-19,Winter,3,No,6,No
2011-03-20,Winter,3,No,0,No
2011-03-21,Spring,3,No,1,Yes
2011-03-22,Spring,3,No,2,Yes
2011-03-23,Spring,3,No,3,Yes
2011-03-24,Spring,3,No,4,Yes
2011-03-25,Spring,3,No,5,Yes
2011-03-26,Spring,3,No,6,No
2011-03-27,Spring,3,No,0,No
2011-03-28,Spring,3,No,1,Yes
2011-03-29,Spring,3,No,2,Yes
2011-03-30,Spring,3,No,3,Yes
2011-03-31,Spring,3,No,4,Yes
2011-04-01,Spring,4,No,5,Yes
2011-04-02,Spring,4,No,6,No
2011-04-03,Spring,4,No,0,No
2011-04-04,Spring,4,No,1,Yes
2011-04-05,Spring,4,No,2,Yes
2011-04-06,Spring,4,No,3,Yes
2011-04-07,Spring,4,No,4,Yes
2011-04-08,Spring,4,No,5,Yes
2011-04-09,Spring,4,No,6,No
2011-04-10,Spring,4,No,0,No
2011-04-11,Spring,4,No,1,Yes
2011-04-12,Spring,4,No,2,Yes
2011-04-13,Spring,4,No,3,Yes
2011-04-14,Spring,4,No,4,Yes
2011-04-15,Spring,4,Yes,5,No
2011-04-16,Spring,4,No,6,No
2011-04-17,Spring,4,No,0,No
2011-04-18,Spring,4,No,1,Yes
2011-04-19,Spring,4,No,2,Yes
2011-04-20,Spring,4,No,3,Yes
2011-04-21,Spring,4,No,4,Yes
2011-04-22,Spring,4,No,5,Yes
2011-04-23,Spring,4,No,6,No
2011-04-24,Spring,4,No,0,No
2011-04-25,Spring,4,No,1,Yes
2011-04-26,Spring,4,No,2,Yes
2011-04-27,Spring,4,No,3,Yes
2011-04-28,Spring,4,No,4,Yes
2011-04-29,Spring,4,No,5,Yes
2011-04-30,Spring,4,No,6,No
2011-05-01,Spring,5,No,0,No
2011-05-02,Spring,5,No,1,Yes
2011-05-03,Spring,5,No,2,Yes
2011-05-04,Spring,5,No,3,Yes
2011-05-05,Spring,5,No,4,Yes
2011-05-06,Spring,5,No,5,Yes
2011-05-07,Spring,5,No,6,No
2011-05-08,Spring,5,No,0,No
2011-05-09,Spring,5,No,1,Yes
2011-05-10,Spring,5,No,2,Yes
2011-05-11,Spring,5,No,3,Yes
2011-05-12,Spring,5,No,4,Yes
2011-05-13,Spring,5,No,5,Yes
2011-05-14,Spring,5,No,6,No
2011-05-15,Spring,5,No,0,No
2011-05-16,Spring,5,No,1,Yes
2011-05-17,Spring,5,No,2,Yes
2011-05-18,Spring,5,No,3,Yes
2011-05-19,Spring,5,No,4,Yes
2011-05-20,Spring,5,No,5,Yes
2011-05-21,Spring,5,No,6,No
2011-05-22,Spring,5,No,0,No
2011-05-23,Spring,5,No,1,Yes
2011-05-24,Spring,5,No,2,Yes
2011-05-25,Spring,5,No,3,Yes
2011-05-26,Spring,5,No,4,Yes
2011-05-27,Spring,5,No,5,Yes
2011-05-28,Spring,5,No,6,No
2011-05-29,Spring,5,No,0,No
2011-05-30,Spring,5,Yes,1,No
2011-05-31,Spring,5,No,2,Yes
2011-06-01,Spring,6,No,3,Yes
2011-06-02,Spring,6,No,4,Yes
2011-06-03,Spring,6,No,5,Yes
2011-06-04,Spring,6,No,6,No
2011-06-05,Spring,6,No,0,No
2011-06-06,Spring,6,No,1,Yes
2011-06-07,Spring,6,No,2,Yes
2011-06-08,Spring,6,No,3,Yes
2011-06-09,Spring,6,No,4,Yes
2011-06-10,Spring,6,No,5,Yes
2011-06-11,Spring,6,No,6,No
2011-06-12,Spring,6,No,0,No
2011-06-13,Spring,6,No,1,Yes
2011-06-14,Spring,6,No,2,Yes
2011-06-15,Spring,6,No,3,Yes
2011-06-16,Spring,6,No,4,Yes
2011-06-17,Spring,6,No,5,Yes
2011-06-18,Spring,6,No,6,No
2011-06-19,Spring,6,No,0,No
2011-06-20,Spring,6,No,1,Yes
2011-06-21,Summer,6,No,2,Yes
2011-06-22,Summer,6,No,3,Yes
2011-06-23,Summer,6,No,4,Yes
2011-06-24,Summer,6,No,5,Yes
2011-06-25,Summer,6,No,6,No
2011-06-26,Summer,6,No,0,No
2011-06-27,Summer,6,No,1,Yes
2011-06-28,Summer,6,No,2,Yes
2011-06-29,Summer,6,No,3,Yes
2011-06-30,Summer,6,No,4,Yes
2011-07-01,Summer,7,No,5,Yes
2011-07-02,Summer,7,No,6,No
2011-07-03,Summer,7,No,0,No
2011-07-04,Summer,7,Yes,1,No
2011-07-05,Summer,7,No,2,Yes
2011-07-06,Summer,7,No,3,Yes
2011-07-07,Summer,7,No,4,Yes
2011-07-08,Summer,7,No,5,Yes
2011-07-09,Summer,7,No,6,No
2011-07-10,Summer,7,No,0,No
2011-07-11,Summer,7,No,1,Yes
2011-07-12,Summer,7,No,2,Yes
2011-07-13,Summer,7,No,3,Yes
2011-07-14,Summer,7,No,4,Yes
2011-07-15,Summer,7,No,5,Yes
2011-07-16,Summer,7,No,6,No
2011-07-17,Summer,7,No,0,No
2011-07-18,Summer,7,No,1,Yes
2011-07-19,Summer,7,No,2,Yes
2011-07-20,Summer,7,No,3,Yes
2011-07-21,Summer,7,No,4,Yes
2011-07-22,Summer,7,No,5,Yes
2011-07-23,Summer,7,No,6,No
2011-07-24,Summer,7,No,0,No
2011-07-25,Summer,7,No,1,Yes
2011-07-26,Summer,7,No,2,Yes
2011-07-27,Summer,7,No,3,Yes
2011-07-28,Summer,7,No,4,Yes
2011-07-29,Summer,7,No,5,Yes
2011-07-30,Summer,7,No,6,No
2011-07-31,Summer,7,No,0,No
2011-08-01,Summer,8,No,1,Yes
2011-08-02,Summer,8,No,2,Yes
2011-08-03,Summer,8,No,3,Yes
2011-08-04,Summer,8,No,4,Yes
2011-08-05,Summer,8,No,5,Yes
2011-08-06,Summer,8,No,6,No
2011-08-07,Summer,8,No,0,No
2011-08-08,Summer,8,No,1,Yes
2011-08-09,Summer,8,No,2,Yes
2011-08-10,Summer,8,No,3,Yes
2011-08-11,Summer,8,No,4,Yes
2011-08-12,Summer,8,No,5,Yes
2011-08-13,Summer,8,No,6,No
2011-08-14,Summer,8,No,0,No
2011-08-15,Summer,8,No,1,Yes
2011-08-16,Summer,8,No,2,Yes
2011-08-17,Summer,8,No,3,Yes
2011-08-18,Summer,8,No,4,Yes
2011-08-19,Summer,8,No,5,Yes
2011-08-20,Summer,8,No,6,No
2011-08-21,Summer,8,No,0,No
2011-08-22,Summer,8,No,1,Yes
2011-08-23,Summer,8,No,2,Yes
2011-08-24,Summer,8,No,3,Yes
2011-08-25,Summer,8,No,4,Yes
2011-08-26,Summer,8,No,5,Yes
2011-08-27,Summer,8,No,6,No
2011-08-28,Summer,8,No,0,No
2011-08-29,Summer,8,No,1,Yes
2011-08-30,Summer,8,No,2,Yes
2011-08-31,Summer,8,No,3,Yes
2011-09-01,Summer,9,No,4,Yes
2011-09-02,Summer,9,No,5,Yes
2011-09-03,Summer,9,No,6,No
2011-09-04,Summer,9,No,0,No
2011-09-05,Summer,9,Yes,1,No
2011-09-06,Summer,9,No,2,Yes
2011-09-07,Summer,9,No,3,Yes
2011-09-08,Summer,9,No,4,Yes
2011-09-09,Summer,9,No,5,Yes
2011-09-10,Summer,9,No,6,No
2011-09-11,Summer,9,No,0,No
2011-09-12,Summer,9,No,1,Yes
2011-09-13,Summer,9,No,2,Yes
2011-09-14,Summer,9,No,3,Yes
2011-09-15,Summer,9,No,4,Yes
2011-09-16,Summer,9,No,5,Yes
2011-09-17,Summer,9,No,6,No
2011-09-18,Summer,9,No,0,No
2011-09-19,Summer,9,No,1,Yes
2011-09-20,Summer,9,No,2,Yes
2011-09-21,Summer,9,No,3,Yes
2011-09-22,Summer,9,No,4,Yes
2011-09-23,Fall,9,No,5,Yes
2011-09-24,Fall,9,No,6,No
2011-09-25,Fall,9,No,0,No
2011-09-26,Fall,9,No,1,Yes
2011-09-27,Fall,9,No,2,Yes
2011-09-28,Fall,9,No,3,Yes
2011-09-29,Fall,9,No,4,Yes
2011-09-30,Fall,9,No,5,Yes
2011-10-01,Fall,10,No,6,No
2011-10-02,Fall,10,No,0,No
2011-10-03,Fall,10,No,1,Yes
2011-10-04,Fall,10,No,2,Yes
2011-10-05,Fall,10,No,3,Yes
2011-10-06,Fall,10,No,4,Yes
2011-10-07,Fall,10,No,5,Yes
2011-10-08,Fall,10,No,6,No
2011-10-09,Fall,10,No,0,No
2011-10-10,Fall,10,Yes,1,No
2011-10-11,Fall,10,No,2,Yes
2011-10-12,Fall,10,No,3,Yes
2011-10-13,Fall,10,No,4,Yes
2011-10-14,Fall,10,No,5,Yes
2011-10-15,Fall,10,No,6,No
2011-10-16,Fall,10,No,0,No
2011-10-17,Fall,10,No,1,Yes
2011-10-18,Fall,10,No,2,Yes
2011-10-19,Fall,10,No,3,Yes
2011-10-20,Fall,10,No,4,Yes
2011-10-21,Fall,10,No,5,Yes
2011-10-22,Fall,10,No,6,No
2011-10-23,Fall,10,No,0,No
2011-10-24,Fall,10,No,1,Yes
2011-10-25,Fall,10,No,2,Yes
2011-10-26,Fall,10,No,3,Yes
2011-10-27,Fall,10,No,4,Yes
2011-10-28,Fall,10,No,5,Yes
2011-10-29,Fall,10,No,6,No
2011-10-30,Fall,10,No,0,No
2011-10-31,Fall,10,No,1,Yes
2011-11-01,Fall,11,No,2,Yes
2011-11-02,Fall,11,No,3,Yes
2011-11-03,Fall,11,No,4,Yes
2011-11-04,Fall,11,No,5,Yes
2011-11-05,Fall,11,No,6,No
2011-11-06,Fall,11,No,0,No
2011-11-07,Fall,11,No,1,Yes
2011-11-08,Fall,11,No,2,Yes
2011-11-09,Fall,11,No,3,Yes
2011-11-10,Fall,11,No,4,Yes
2011-11-11,Fall,11,Yes,5,No
2011-11-12,Fall,11,No,6,No
2011-11-13,Fall,11,No,0,No
2011-11-14,Fall,11,No,1,Yes
2011-11-15,Fall,11,No,2,Yes
2011-11-16,Fall,11,No,3,Yes
2011-11-17,Fall,11,No,4,Yes
2011-11-18,Fall,11,No,5,Yes
2011-11-19,Fall,11,No,6,No
2011-11-20,Fall,11,No,0,No
2011-11-21,Fall,11,No,1,Yes
2011-11-22,Fall,11,No,2,Yes
2011-11-23,Fall,11,No,3,Yes
2011-11-24,Fall,11,Yes,4,No
2011-11-25,Fall,11,No,5,Yes
2011-11-26,Fall,11,No,6,No
2011-11-27,Fall,11,No,0,No
2011-11-28,Fall,11,No,1,Yes
2011-11-29,Fall,11,No,2,Yes
2011-11-30,Fall,11,No,3,Yes
2011-12-01,Fall,12,No,4,Yes
2011-12-02,Fall,12,No,5,Yes
2011-12-03,Fall,12,No,6,No
2011-12-04,Fall,12,No,0,No
2011-12-05,Fall,12,No,1,Yes
2011-12-06,Fall,12,No,2,Yes
2011-12-07,Fall,12,No,3,Yes
2011-12-08,Fall,12,No,4,Yes
2011-12-09,Fall,12,No,5,Yes
2011-12-10,Fall,12,No,6,No
2011-12-11,Fall,12,No,0,No
2011-12-12,Fall,12,No,1,Yes
2011-12-13,Fall,12,No,2,Yes
2011-12-14,Fall,12,No,3,Yes
2011-12-15,Fall,12,No,4,Yes
2011-12-16,Fall,12,No,5,Yes
2011-12-17,Fall,12,No,6,No
2011-12-18,Fall,12,No,0,No
2011-12-19,Fall,12,No,1,Yes
2011-12-20,Fall,12,No,2,Yes
2011-12-21,Winter,12,No,3,Yes
2011-12-22,Winter,12,No,4,Yes
2011-12-23,Winter,12,No,5,Yes
2011-12-24,Winter,12,No,6,No
2011-12-25,Winter,12,No,0,No
2011-12-26,Winter,12,Yes,1,No
2011-12-27,Winter,12,No,2,Yes
2011-12-28,Winter,12,No,3,Yes
2011-12-29,Winter,12,No,4,Yes
2011-12-30,Winter,12,No,5,Yes
2011-12-31,Winter,12,No,6,No
